activity_labels	subject	1 tBodyAcc-mean()-X	2 tBodyAcc-mean()-Y	3 tBodyAcc-mean()-Z	240 tBodyGyroMag-mean()	253 tBodyGyroJerkMag-mean()	552 fBodyBodyGyroJerkMag-meanFreq()	41 tGravityAcc-mean()-X	542 fBodyBodyGyroJerkMag-mean()	227 tBodyAccJerkMag-mean()	162 tBodyGyroJerk-mean()-Y	42 tGravityAcc-mean()-Y	163 tBodyGyroJerk-mean()-Z	201 tBodyAccMag-mean()	43 tGravityAcc-mean()-Z	214 tGravityAccMag-mean()	81 tBodyAccJerk-mean()-X	82 tBodyAccJerk-mean()-Y	161 tBodyGyroJerk-mean()-X	83 tBodyAccJerk-mean()-Z	121 tBodyGyro-mean()-X	122 tBodyGyro-mean()-Y	123 tBodyGyro-mean()-Z
1 WALKING	2	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
1 WALKING	4	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120
1 WALKING	9	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
1 WALKING	10	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106
1 WALKING	12	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
1 WALKING	13	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114	114
1 WALKING	18	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112	112
1 WALKING	20	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
1 WALKING	24	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
2 WALKING_UPSTAIRS	2	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96
2 WALKING_UPSTAIRS	4	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
2 WALKING_UPSTAIRS	9	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
2 WALKING_UPSTAIRS	10	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
2 WALKING_UPSTAIRS	12	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104
2 WALKING_UPSTAIRS	13	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110	110
2 WALKING_UPSTAIRS	18	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116	116
2 WALKING_UPSTAIRS	20	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102
2 WALKING_UPSTAIRS	24	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118	118
3 WALKING_DOWNSTAIRS	2	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
3 WALKING_DOWNSTAIRS	4	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
3 WALKING_DOWNSTAIRS	9	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84	84
3 WALKING_DOWNSTAIRS	10	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76
3 WALKING_DOWNSTAIRS	12	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
